Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
331,00:00:13.805,0.6526648599819331,0.8252032520325203,0.6802168021680217,0.45257452574525747
332,00:00:13.847,3.9083107497741647,2.5447154471544717,5.89159891598916,3.2886178861788617
333,00:00:13.889,0.877145438121048,1.5406504065040652,0.5975609756097561,0.4932249322493225
334,00:00:13.931,1.2908762420957542,2.779132791327913,0.6070460704607046,0.48644986449864497
335,00:00:13.972,3.6111111111111107,3.769647696476965,4.032520325203252,3.0311653116531163
336,00:00:14.014,1.0266485998193315,2.0311653116531163,0.6395663956639567,0.4092140921409214
337,00:00:14.056,2.2610659439927736,2.5311653116531163,2.2845528455284554,1.967479674796748
338,00:00:14.097,2.5510388437217704,1.7547425474254743,3.1124661246612466,2.785907859078591
339,00:00:14.139,0.9399277326106595,1.5826558265582655,0.6964769647696477,0.540650406504065
340,00:00:14.181,3.09349593495935,2.9715447154471546,4.029810298102981,2.279132791327913
341,00:00:14.223,0.7389340560072267,1.0636856368563685,0.6775067750677507,0.47560975609756095
342,00:00:14.264,3.134598012646793,2.845528455284553,3.578590785907859,2.9796747967479673
343,00:00:14.306,3.7046070460704605,2.497289972899729,4.8861788617886175,3.730352303523035
344,00:00:14.348,2.379855465221319,2.589430894308943,2.546070460704607,2.0040650406504064
345,00:00:14.389,0.9787714543812105,1.7940379403794038,0.6490514905149052,0.4932249322493225
346,00:00:14.431,3.2791327913279136,3.3739837398373984,3.7601626016260163,2.703252032520325
347,00:00:14.473,1.1820234869015358,2.037940379403794,0.8184281842818428,0.6897018970189702
348,00:00:14.514,2.813911472448058,2.897018970189702,3.0420054200542004,2.502710027100271
349,00:00:14.556,0.7109304426377596,0.8279132791327913,0.7506775067750677,0.55420054200542
350,00:00:14.598,3.1842818428184283,2.962059620596206,3.930894308943089,2.6598915989159893
351,00:00:14.640,2.441282746160795,1.3238482384823849,3.6192411924119243,2.3807588075880757
352,00:00:14.681,1.1088527551942187,1.8197831978319783,0.8143631436314364,0.6924119241192412
353,00:00:14.723,1.0907859078590787,1.7872628726287263,0.8211382113821138,0.6639566395663956
354,00:00:14.765,3.9728997289972896,3.4742547425474255,4.833333333333333,3.611111111111111
355,00:00:14.806,1.4950316169828366,2.5718157181571817,0.9688346883468835,0.9444444444444444
356,00:00:14.848,1.0140018066847336,1.1097560975609757,1.018970189701897,0.9132791327913279
357,00:00:14.890,3.6761517615176147,3.200542005420054,4.486449864498645,3.341463414634146
358,00:00:14.932,1.060523938572719,1.3306233062330624,0.9823848238482384,0.8685636856368564
359,00:00:14.973,1.51806684733514,2.7628726287262872,0.9390243902439024,0.8523035230352304
360,00:00:15.015,2.8843721770551043,2.8197831978319785,3.3224932249322494,2.510840108401084
361,00:00:15.057,1.1210478771454382,1.9132791327913279,0.7669376693766937,0.6829268292682927
362,00:00:15.098,3.9205058717253842,2.962059620596206,5.1924119241192415,3.607046070460705
363,00:00:15.140,1.415085817524842,2.4552845528455283,0.9769647696476965,0.8130081300813008
364,00:00:15.182,3.8297199638663053,2.1327913279132793,5.616531165311653,3.7398373983739837
365,00:00:15.224,0.9200542005420055,0.6205962059620597,1.1883468834688347,0.9512195121951219
366,00:00:15.265,4.098915989159892,3.3279132791327912,5.434959349593496,3.5338753387533877
367,00:00:15.307,1.4101174345076786,2.1219512195121952,1.2127371273712737,0.8956639566395664
368,00:00:15.349,3.4363143631436315,3.399728997289973,3.9769647696476964,2.932249322493225
369,00:00:15.390,1.2935862691960254,2.0745257452574526,0.9579945799457995,0.8482384823848238
370,00:00:15.432,3.386178861788618,2.33739837398374,4.878048780487805,2.9430894308943087
371,00:00:15.474,1.1621499548328817,1.3875338753387534,1.1476964769647697,0.9512195121951219
372,00:00:15.515,3.285907859078591,1.9823848238482384,4.658536585365853,3.21680216802168
373,00:00:15.557,3.1915085817524846,2.994579945799458,3.510840108401084,3.069105691056911
374,00:00:15.599,1.4385727190605238,2.021680216802168,1.2127371273712737,1.08130081300813
375,00:00:15.641,1.3121047877145438,1.3943089430894309,1.334688346883469,1.2073170731707317
376,00:00:15.682,5.335591689250226,4.495934959349594,7.048780487804878,4.4620596205962055
377,00:00:15.724,1.2660343270099368,1.829268292682927,1.1178861788617886,0.8509485094850948
378,00:00:15.766,1.7285456187895212,1.475609756097561,2.1016260162601625,1.60840108401084
379,00:00:15.807,2.2240289069557364,1.7615176151761518,2.745257452574526,2.165311653116531
380,00:00:15.849,1.0438121047877145,0.9051490514905149,1.4308943089430894,0.7953929539295393
